Vardas         Pavarde        ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 Egzaminas
Darius         Petraitis      2    10   8    3    10   9    3    4    9    3    6         
Lukas          Kavaliauskas   9    2    1    5    4    8    5    9    10   2    9         
Mantas         Petraitis      6    4    9    5    7    7    6    9    2    3    6         
Marius         Kavolis        5    3    2    5    2    6    1    6    3    5    5         
Jonas          Kazlauskas     10   2    7    1    3    7    8    4    7    6    7         
Paulius        Jankauskas     8    5    3    8    5    2    10   6    10   2    4         
Antanas        Stankevicius   1    4    6    5    2    1    6    7    1    3    2         
Antanas        Kazlauskas     9    1    8    7    2    6    9    2    5    3    10        
Petras         Kavaliauskas   4    6    5    9    10   7    8    1    7    4    9         
Paulius        Petraitis      9    10   6    5    8    3    8    4    2    9    3         
Mantas         Jonaitis       8    5    7    7    3    1    3    6    7    9    9         
Kazys          Stankevicius   2    8    7    9    8    1    8    9    9    2    10        
Darius         Brazinskas     10   6    8    5    6    2    2    1    10   4    8         
Mantas         Zukauskas      4    8    7    6    1    8    1    3    5    3    1         
Marius         Jonaitis       3    4    1    5    1    10   4    7    10   8    2         
Kazys          Zukauskas      1    2    9    6    10   4    7    4    8    8    7         
Lukas          Kavaliauskas   2    10   10   6    6    10   5    8    1    4    4         
Petras         Kazlauskas     9    8    2    2    10   9    3    9    8    5    5         
Paulius        Kavaliauskas   6    4    7    6    5    7    2    8    3    4    3         
Kazys          Petraitis      2    3    5    8    10   5    8    9    8    2    1         
Darius         Kavolis        10   10   10   2    1    2    1    4    3    4    1         
Marius         Zukauskas      1    1    1    1    6    9    10   5    8    9    8         
Antanas        Stankevicius   4    9    9    6    4    1    2    4    2    5    10        
Antanas        Kavolis        5    2    4    7    2    4    6    7    5    8    1         
Jonas          Kavolis        6    4    4    6    2    8    6    2    9    2    2         
Paulius        Brazinskas     8    2    9    1    2    2    1    2    6    5    9         
Lukas          Jankauskas     5    7    9    1    2    7    6    4    8    10   10        
Kazys          Kazlauskas     3    8    8    1    5    2    2    9    1    9    9         
Lukas          Kavaliauskas   9    9    4    5    1    8    10   10   10   2    5         
Petras         Stankevicius   8    8    6    3    9    3    7    1    3    10   3         
Mantas         Jonaitis       4    5    3    9    3    2    3    7    5    4    7         
Tomas          Petraitis      3    9    4    1    6    3    8    3    6    4    9         
Antanas        Zukauskas      1    4    10   8    10   2    10   6    6    4    3         
Paulius        Kazlauskas     8    7    10   7    7    1    9    6    5    7    2         
Darius         Stankevicius   10   4    3    1    1    9    5    4    8    4    7         
Lukas          Brazinskas     5    7    7    9    4    7    5    7    5    9    4         
Marius         Kavaliauskas   3    5    10   10   8    6    6    1    8    5    6         
Mantas         Kazlauskas     7    10   10   10   8    4    8    2    6    6    1         
Kazys          Kavaliauskas   3    9    10   10   10   6    4    8    5    8    9         
Lukas          Petraitis      2    2    5    1    2    6    9    7    9    7    3         
Tomas          Stankevicius   2    3    5    9    6    2    9    6    6    6    3         
Kazys          Petraitis      9    7    5    10   10   6    6    5    3    1    9         
Jonas          Stankevicius   10   10   5    10   6    8    8    3    9    6    2         
Antanas        Petraitis      3    10   8    1    1    4    7    7    2    7    3         
Mantas         Brazinskas     4    8    1    8    8    1    2    10   4    2    9         
Darius         Petraitis      4    7    1    4    1    8    1    4    2    2    10        
Darius         Jonaitis       2    3    9    6    7    1    2    7    4    10   3         
Marius         Zukauskas      3    5    9    2    10   5    10   3    7    1    1         
Tomas          Zukauskas      3    2    3    7    5    4    2    7    9    2    4         
Marius         Kavolis        2    4    8    8    4    9    1    9    1    8    3         
Antanas        Kazlauskas     10   3    5    1    9    3    1    1    8    6    3         
Kazys          Kazlauskas     5    5    7    10   8    10   9    2    2    3    4         
Darius         Jonaitis       4    5    6    4    8    3    10   3    5    9    10        
Jonas          Jankauskas     10   7    5    4    8    5    5    5    5    3    1         
Mantas         Brazinskas     10   1    10   9    6    4    2    3    9    4    8         
Paulius        Petraitis      9    9    4    10   8    7    8    9    10   4    8         
Kazys          Kazlauskas     2    9    6    6    5    2    5    6    5    4    3         
Darius         Kazlauskas     4    9    1    4    6    6    9    8    4    7    9         
Darius         Brazinskas     1    9    9    7    4    1    1    2    4    1    4         
Darius         Jonaitis       3    4    9    2    1    3    6    1    6    4    10        
Jonas          Kazlauskas     2    3    10   1    2    4    5    2    5    5    8         
Paulius        Kazlauskas     7    6    8    7    6    10   1    4    10   1    6         
Mantas         Petraitis      4    2    7    9    2    1    7    4    5    10   3         
Marius         Stankevicius   9    3    10   7    4    6    10   8    5    7    4         
Petras         Petraitis      3    4    4    9    1    10   9    3    4    6    9         
Mantas         Jankauskas     3    2    4    10   10   2    10   9    1    7    6         
Marius         Jankauskas     5    8    9    10   4    9    3    2    10   8    4         
Jonas          Kavolis        10   7    4    9    7    6    7    2    5    7    10        
Kazys          Petraitis      9    8    1    10   7    6    2    9    2    7    2         
Mantas         Jonaitis       2    6    9    6    8    9    9    10   5    8    1         
Lukas          Kazlauskas     6    1    2    3    2    4    3    10   4    8    2         
Jonas          Kavolis        2    6    7    6    10   2    2    10   5    10   6         
Kazys          Kazlauskas     7    7    3    3    1    2    1    6    7    9    9         
Marius         Jonaitis       9    5    7    4    2    6    1    8    10   3    7         
Antanas        Stankevicius   1    5    10   9    4    9    6    2    8    1    8         
Paulius        Zukauskas      2    2    2    2    5    1    1    9    4    9    9         
Mantas         Stankevicius   10   7    7    5    7    7    5    9    7    3    10        
Marius         Kavaliauskas   5    4    5    7    8    9    5    8    3    6    8         
Antanas        Jankauskas     5    10   9    4    6    7    8    2    5    8    10        
Tomas          Kavaliauskas   10   1    3    4    5    6    1    8    2    2    7         
Petras         Kavolis        10   3    8    9    1    9    2    1    5    9    5         
Paulius        Kazlauskas     4    10   2    1    10   1    7    7    6    9    2         
Kazys          Brazinskas     9    9    1    3    4    3    4    10   4    9    1         
Lukas          Kazlauskas     1    7    1    7    8    4    3    10   9    8    6         
Petras         Stankevicius   7    10   7    10   5    10   8    6    8    8    7         
Paulius        Kazlauskas     2    1    8    8    2    6    2    10   7    5    5         
Darius         Jonaitis       8    5    6    1    5    4    10   9    4    3    3         
Antanas        Brazinskas     4    5    5    8    1    1    5    7    9    10   1         
Paulius        Stankevicius   1    4    4    8    4    1    6    10   2    7    6         
Jonas          Jonaitis       3    6    1    6    10   1    10   2    10   4    10        
Darius         Zukauskas      9    3    1    4    5    3    4    6    1    10   8         
Jonas          Stankevicius   6    8    8    6    10   3    6    8    3    4    5         
Darius         Kazlauskas     10   3    10   5    2    4    1    6    9    5    1         
Antanas        Brazinskas     6    7    10   6    8    7    5    4    2    9    4         
